0.0  7.54211798277161e-16  -7.52360845061377e-16  3.93827097456409e-09
100.0  -1.05621157579263e-14  9.3555152650999e-15  3.93399029463196e-09
200.0  -3.25191980689266e-14  2.99552991905486e-14  3.92574975719284e-09
300.0  -6.05303459073124e-14  5.6411418646976e-14  3.91525135491439e-09
400.0  -9.17443717501975e-14  8.59018073309852e-14  3.90352324597629e-09
500.0  -1.24434352928165e-13  1.16751115756241e-13  3.89117870316942e-09
600.0  -1.57589362157844e-13  1.47998556479723e-13  3.87857623834675e-09
700.0  -1.90645476999347e-13  1.79120352389584e-13  3.8659190169552e-09
800.0  -2.23311231059959e-13  2.09853662011198e-13  3.85331660409518e-09
900.0  -2.55456261601932e-13  2.40086595770798e-13  3.84082318284796e-09
1000.0  -2.8704163656723e-13  2.69790805930147e-13  3.82846103316777e-09
1100.0  -3.18077239085564e-13  2.98981125390921e-13  3.81623478401616e-09
1200.0  -3.48596416756206e-13  3.27692111518065e-13  3.804139915664e-09
1300.0  -3.78641439161455e-13  3.55964953223021e-13  3.79216770853613e-09
1400.0  -4.08255576811122e-13  3.83840586899925e-13  3.7803080229857e-09
1500.0  -4.37479135653284e-13  4.11356430544968e-13  3.76855077679204e-09
1600.0  -4.66347790205549e-13  4.38545162094162e-13  3.75688665441441e-09
1700.0  -4.94892087203638e-13  4.65434473021589e-13  3.74530742074722e-09
1800.0  -5.23137798103621e-13  4.92047570043694e-13  3.73380592228823e-09
1900.0  -5.51106367120439e-13  5.18403666868067e-13  3.72237605087752e-09
2000.0  -5.78815553447145e-13  5.44518632262293e-13  3.71101261912459e-09
2100.0  -6.06280045316724e-13  5.70405580185697e-13  3.69971123023288e-09
2200.0  -6.33512015025368e-13  5.96075387616572e-13  3.68846815318327e-09
2300.0  -6.60521595965903e-13  6.21537130137724e-13  3.67728021154066e-09
2400.0  -6.87317279586218e-13  6.46798438479797e-13  3.66614468846176e-09
2500.0  -7.13906238575755e-13  6.71865785115255e-13  3.65505924756114e-09
2600.0  -7.40294586095124e-13  6.96744711902551e-13  3.64402186796274e-09
2700.0  -7.66487581676795e-13  7.21440009626351e-13  3.63303079141428e-09
2800.0  -7.92489793837676e-13  7.45955859146036e-13  3.62208447934802e-09
2900.0  -8.18305228222379e-13  7.70295942380894e-13  3.6111815779887e-09
3000.0  -8.43937428668424e-13  7.94463529843586e-13  3.60032088990159e-09
3100.0  -8.69389557191066e-13  8.1846155005342e-13  3.58950135066928e-09
3200.0  -8.94664457637364e-13  8.42292644978806e-13  3.57872200965181e-09
